time	month	temperature	feelslike	wind	direction	gust	cloud	humidity	precipitation	pressure	weather	label
12:00	1	31.0	34.0	7.0	NE	8.0	83.0	55.0	0.0	1013.0	Cloudy	Patchy rain possible
15:00	1	31.0	35.0	4.0	E	5.0	42.0	53.0	0.2	1011.0	Patchy rain possible	Partly cloudy
18:00	1	27.0	29.0	6.0	ESE	12.0	59.0	72.0	0.0	1012.0	Partly cloudy	Clear
21:00	1	24.0	26.0	11.0	NE	19.0	17.0	70.0	0.1	1014.0	Clear	Clear
0:00	1	22.0	25.0	10.0	NE	17.0	23.0	73.0	0.0	1014.0	Clear	Clear
3:00	1	21.0	22.0	9.0	NNE	15.0	22.0	74.0	0.0	1014.0	Clear	Sunny
6:00	1	21.0	22.0	8.0	NNE	10.0	15.0	74.0	0.0	1014.0	Sunny	Sunny
9:00	1	26.0	29.0	8.0	NE	9.0	11.0	57.0	0.0	1015.0	Sunny	Sunny
12:00	1	30.0	33.0	5.0	NE	5.0	10.0	46.0	0.0	1012.0	Sunny	Sunny
15:00	1	30.0	33.0	4.0	SE	5.0	12.0	44.0	0.0	1011.0	Sunny	Clear
18:00	1	25.0	27.0	10.0	SSE	18.0	11.0	63.0	0.0	1012.0	Clear	Clear
21:00	1	24.0	26.0	9.0	ESE	15.0	9.0	68.0	0.0	1013.0	Clear	Clear
0:00	1	23.0	25.0	8.0	ENE	13.0	14.0	70.0	0.0	1013.0	Clear	Clear
3:00	1	22.0	23.0	9.0	NNE	13.0	11.0	71.0	0.0	1012.0	Clear	Sunny
6:00	1	21.0	22.0	9.0	N	11.0	8.0	72.0	0.0	1013.0	Sunny	Sunny
9:00	1	26.0	29.0	9.0	NNW	10.0	7.0	56.0	0.0	1013.0	Sunny	Sunny
12:00	1	30.0	33.0	6.0	NW	7.0	9.0	47.0	0.0	1012.0	Sunny	Sunny
15:00	1	30.0	33.0	3.0	SSW	3.0	11.0	45.0	0.0	1010.0	Sunny	Clear
18:00	1	26.0	28.0	9.0	SSE	17.0	17.0	60.0	0.0	1011.0	Clear	Clear
21:00	1	24.0	26.0	13.0	SE	23.0	22.0	79.0	0.0	1012.0	Clear	Clear
0:00	1	23.0	26.0	8.0	SSE	14.0	22.0	81.0	0.0	1012.0	Clear	Clear
3:00	1	22.0	26.0	1.0	S	2.0	15.0	84.0	0.0	1012.0	Clear	Sunny
6:00	1	23.0	27.0	3.0	N	4.0	9.0	78.0	0.0	1013.0	Sunny	Sunny
9:00	1	28.0	32.0	4.0	NW	5.0	6.0	59.0	0.0	1013.0	Sunny	Sunny
12:00	1	31.0	34.0	4.0	WNW	5.0	14.0	45.0	0.0	1011.0	Sunny	Partly cloudy
15:00	1	31.0	33.0	4.0	SW	4.0	39.0	45.0	0.0	1010.0	Partly cloudy	Clear
18:00	1	26.0	28.0	9.0	SSE	15.0	18.0	64.0	0.0	1012.0	Clear	Clear
21:00	1	24.0	27.0	11.0	SE	17.0	12.0	78.0	0.0	1013.0	Clear	Clear
0:00	1	23.0	26.0	7.0	SE	11.0	15.0	81.0	0.0	1013.0	Clear	Clear
3:00	1	23.0	26.0	4.0	ENE	5.0	16.0	84.0	0.0	1012.0	Clear	Sunny
6:00	1	24.0	27.0	4.0	NE	4.0	11.0	77.0	0.0	1013.0	Sunny	Sunny
9:00	1	28.0	32.0	5.0	N	6.0	9.0	60.0	0.0	1013.0	Sunny	Partly cloudy
12:00	1	31.0	34.0	6.0	N	7.0	31.0	47.0	0.0	1011.0	Partly cloudy	Partly cloudy
15:00	1	31.0	34.0	3.0	NE	3.0	28.0	47.0	0.0	1009.0	Partly cloudy	Clear
18:00	1	26.0	28.0	13.0	SSE	21.0	8.0	66.0	0.0	1010.0	Clear	Clear
21:00	1	24.0	26.0	12.0	SSE	20.0	12.0	75.0	0.0	1011.0	Clear	Partly cloudy
0:00	1	23.0	26.0	4.0	SE	6.0	28.0	80.0	0.0	1011.0	Partly cloudy	Partly cloudy
3:00	1	22.0	25.0	3.0	N	5.0	27.0	82.0	0.0	1011.0	Partly cloudy	Sunny
6:00	1	23.0	26.0	7.0	N	9.0	19.0	77.0	0.0	1012.0	Sunny	Sunny
9:00	1	28.0	31.0	12.0	N	14.0	15.0	59.0	0.0	1013.0	Sunny	Partly cloudy
12:00	1	31.0	34.0	11.0	NNW	13.0	27.0	49.0	0.0	1010.0	Partly cloudy	Sunny
15:00	1	32.0	35.0	9.0	NNW	10.0	23.0	47.0	0.0	1009.0	Sunny	Clear
18:00	1	26.0	29.0	2.0	NNW	4.0	16.0	61.0	0.0	1010.0	Clear	Clear
21:00	1	25.0	27.0	9.0	SSE	17.0	17.0	68.0	0.0	1011.0	Clear	Clear
0:00	2	24.0	26.0	7.0	SE	11.0	16.0	78.0	0.0	1011.0	Clear	Clear
3:00	2	23.0	26.0	1.0	SSW	1.0	18.0	83.0	0.0	1011.0	Clear	Sunny
6:00	2	24.0	27.0	3.0	N	4.0	25.0	74.0	0.0	1012.0	Sunny	Sunny
